,is_oceanic
200703301200,0.0
200703301800,0.0
200703310000,0.0
200703310600,0.0
200703311200,0.0
200703311800,0.0
200704010000,0.0
200704010600,0.0
200704011200,0.0
200704011800,0.0
200704020000,0.0
200704020600,0.0
200704021200,0.0
200704021800,0.0
200704030000,0.0
200704030600,0.0
200704031200,0.0
200704031800,0.0
200704040000,0.0
200704040600,0.0
200704041200,0.0
200704041800,0.0
200704050000,0.0
200704050600,0.0
200704051200,0.0
200704051800,0.0
200704060000,0.0
200704060600,0.0
200704061200,0.0
200704061800,0.0
200704070000,0.0
200704070600,0.0
200704071200,0.0
200704071800,1.0
200704080000,0.0
200704080600,0.0
200704081200,0.0
200704081800,1.0
200704090000,1.0
200704090600,1.0
200704091200,1.0
200704091800,1.0
200704100000,1.0
200704100600,1.0
200704101200,1.0
200704101800,1.0
200704110000,1.0
200704110600,1.0
200704111200,1.0
200704111800,1.0
200704120000,1.0
200704120600,1.0
200704121200,0.0
200704121800,0.0
200704130000,1.0
200704130600,0.0
200704131200,0.0
200704131800,0.0
200704140000,0.0
200704140600,0.0
200704141200,0.0
200704141800,0.0
200704150000,0.0
200704150600,1.0
200704151200,1.0
200704151800,1.0
200704160000,1.0
200704160600,1.0
200704161200,1.0
200704161800,1.0
200704170000,1.0
200704170600,1.0
200704171200,1.0
200704171800,1.0
200704180000,0.0
200704180600,0.0
200704181200,1.0
200704181800,1.0
200704190000,0.0
200704190600,0.0
200704191200,0.0
200704191800,0.0
200704200000,0.0
200704200600,0.0
200704201200,0.0
200704201800,1.0
200704210000,0.0
200704210600,1.0
200704211200,1.0
200704211800,1.0
200704220000,1.0
200704220600,1.0
200704221200,1.0
200704221800,1.0
200704230000,1.0
200704230600,1.0
200704231200,1.0
200704231800,1.0
200704240000,1.0
200704240600,1.0
200704241200,1.0
200704241800,0.0
200704250000,0.0
200704250600,1.0
200704251200,1.0
200704251800,1.0
200704260000,1.0
200704260600,0.0
200704261200,0.0
200704261800,0.0
200704270000,0.0
200704270600,0.0
200704271200,0.0
200704271800,0.0
200704280000,0.0
200704280600,0.0
200704281200,0.0
200704281800,0.0
200704290000,0.0
200704290600,0.0
200704291200,0.0
200704291800,0.0
200704300000,0.0
200704300600,0.0
200704301200,0.0
200704301800,0.0
200705010000,0.0
200705010600,0.0
200705011200,0.0
200705011800,0.0
200705020000,0.0
200705020600,0.0
200705021200,0.0
200705021800,0.0
200705030000,0.0
200705030600,0.0
200705031200,0.0
200705031800,0.0
200705040000,0.0
200705040600,0.0
200705041200,0.0
200705041800,0.0
200705050000,0.0
200705050600,0.0
200705051200,1.0
200705051800,1.0
200705060000,1.0
200705060600,1.0
200705061200,1.0
200705061800,1.0
200705070000,1.0
200705070600,1.0
200705071200,1.0
200705071800,1.0
200705080000,1.0
200705080600,1.0
200705081200,1.0
200705081800,1.0
200705090000,1.0
200705090600,1.0
200705091200,1.0
200705091800,1.0
200705100000,1.0
200705100600,1.0
200705101200,1.0
200705101800,0.0
200705110000,0.0
200705110600,1.0
200705111200,0.0
200705111800,0.0
200705120000,0.0
200705120600,0.0
200705121200,0.0
200705121800,0.0
200705130000,0.0
200705130600,0.0
200705131200,0.0
200705131800,1.0
200705140000,1.0
200705140600,1.0
200705141200,1.0
200705141800,1.0
200705150000,1.0
200705150600,1.0
200705151200,0.0
200705151800,1.0
200705160000,1.0
200705160600,1.0
200705161200,1.0
200705161800,1.0
200705170000,1.0
200705170600,1.0
200705171200,1.0
200705171800,1.0
200705180000,1.0
200705180600,1.0
200705181200,1.0
200705181800,1.0
200705190000,1.0
200705190600,0.0
200705191200,1.0
200705191800,1.0
200705200000,0.0
200705200600,0.0
200705201200,1.0
200705201800,1.0
200705210000,1.0
200705210600,1.0
200705211200,1.0
200705211800,1.0
200705220000,1.0
200705220600,0.0
200705221200,0.0
200705221800,1.0
200705230000,1.0
200705230600,1.0
200705231200,1.0
200705231800,1.0
200705240000,1.0
200705240600,1.0
200705241200,1.0
200705241800,1.0
200705250000,1.0
200705250600,1.0
200705251200,1.0
200705251800,0.0
200705260000,1.0
200705260600,1.0
200705261200,1.0
200705261800,0.0
200705270000,0.0
200705270600,0.0
200705271200,1.0
200705271800,1.0
200705280000,1.0
200705280600,0.0
200705281200,0.0
200705281800,0.0
200705290000,0.0
200705290600,0.0
200705291200,0.0
200705291800,0.0
200705300000,0.0
200705300600,0.0
200705301200,0.0
200705301800,1.0
200705310000,0.0
200705310600,1.0
200705311200,1.0
200705311800,0.0
200706010000,0.0
200706010600,0.0
200706011200,0.0
200706011800,0.0
200706020000,0.0
200706020600,1.0
200706021200,1.0
200706021800,1.0
200706030000,1.0
200706030600,1.0
200706031200,1.0
200706031800,1.0
200706040000,1.0
200706040600,0.0
200706041200,0.0
200706041800,0.0
200706050000,0.0
200706050600,0.0
200706051200,0.0
200706051800,0.0
200706060000,0.0
200706060600,0.0
200706061200,0.0
200706061800,0.0
200706070000,0.0
200706070600,0.0
200706071200,0.0
200706071800,0.0
200706080000,0.0
200706080600,0.0
200706081200,0.0
200706081800,0.0
200706090000,0.0
200706090600,0.0
200706091200,0.0
200706091800,0.0
200706100000,0.0
200706100600,0.0
200706101200,0.0
200706101800,0.0
200706110000,0.0
200706110600,0.0
200706111200,0.0
200706111800,0.0
200706120000,0.0
200706120600,0.0
200706121200,0.0
200706121800,1.0
200706130000,1.0
200706130600,1.0
200706131200,0.0
200706131800,1.0
200706140000,1.0
200706140600,0.0
200706141200,0.0
200706141800,0.0
200706150000,0.0
200706150600,0.0
200706151200,0.0
200706151800,0.0
200706160000,0.0
200706160600,0.0
200706161200,0.0
200706161800,0.0
200706170000,0.0
200706170600,0.0
200706171200,0.0
200706171800,0.0
200706180000,0.0
200706180600,0.0
200706181200,0.0
200706181800,0.0
200706190000,0.0
200706190600,0.0
200706191200,0.0
200706191800,0.0
200706200000,0.0
200706200600,0.0
200706201200,0.0
200706201800,0.0
200706210000,0.0
200706210600,0.0
200706211200,0.0
200706211800,0.0
200706220000,0.0
200706220600,0.0
200706221200,0.0
200706221800,0.0
200706230000,1.0
200706230600,1.0
200706231200,1.0
200706231800,1.0
200706240000,1.0
200706240600,1.0
200706241200,0.0
200706241800,0.0
200706250000,0.0
200706250600,0.0
200706251200,0.0
200706251800,1.0
200706260000,1.0
200706260600,0.0
200706261200,1.0
200706261800,1.0
200706270000,1.0
200706270600,1.0
200706271200,1.0
200706271800,1.0
200706280000,1.0
200706280600,1.0
200706281200,1.0
200706281800,1.0
200706290000,1.0
200706290600,1.0
200706291200,0.0
200706291800,1.0
200706300000,1.0
200706300600,0.0
200706301200,0.0
200706301800,1.0
200707010000,0.0
200707010600,0.0
200707011200,1.0
200707011800,0.0
200707020000,0.0
200707020600,0.0
200707021200,0.0
200707021800,0.0
200707030000,1.0
200707030600,1.0
200707031200,1.0
200707031800,1.0
200707040000,1.0
200707040600,0.0
200707041200,0.0
200707041800,1.0
200707050000,0.0
200707050600,1.0
200707051200,1.0
200707051800,1.0
200707060000,0.0
200707060600,1.0
