,is_oceanic,time
201603131800,1.0,
201603140000,1.0,
201603140600,1.0,
201603141200,0.0,54000.0
201603141800,1.0,
201603150000,1.0,
201603150600,0.0,21600.0
201603151200,0.0,21600.0
201603151800,0.0,21600.0
201603160000,1.0,
201603160600,1.0,
201603161200,1.0,
201603161800,1.0,
201603170000,0.0,54000.0
201603170600,0.0,86400.0
201603171200,0.0,140400.0
201603171800,0.0,237600.0
201603180000,1.0,
201603180600,1.0,
201603181200,1.0,
201603181800,1.0,
201603190000,1.0,
201603190600,1.0,
201603191200,0.0,10800.0
201603191800,0.0,64800.0
201603200000,0.0,86400.0
201603200600,0.0,86400.0
201603201200,0.0,10800.0
201603201800,0.0,432000.0
201603210000,0.0,118800.0
201603210600,0.0,97200.0
201603211200,0.0,162000.0
201603211800,0.0,183600.0
201603220000,1.0,
201603220600,1.0,
201603221200,1.0,
201603221800,1.0,
201603230000,0.0,75600.0
201603230600,0.0,270000.0
201603231200,1.0,
201603231800,1.0,
201603240000,1.0,
201603240600,1.0,
201603241200,1.0,
201603241800,1.0,
201603250000,1.0,
201603250600,1.0,
201603251200,1.0,
201603251800,1.0,
201603260000,1.0,
201603260600,1.0,
201603261200,1.0,
201603261800,1.0,
201603270000,1.0,
201603270600,1.0,
201603271200,1.0,
201603271800,1.0,
201603280000,1.0,
201603280600,1.0,
201603281200,1.0,
201603281800,1.0,
201603290000,0.0,10800.0
201603290600,1.0,
201603291200,1.0,
201603291800,1.0,
201603300000,1.0,
201603300600,1.0,
201603301200,1.0,
201603301800,1.0,
201603310000,1.0,
201603310600,1.0,
201603311200,1.0,
201603311800,1.0,
201604010000,0.0,108000.0
201604010600,0.0,162000.0
201604011200,0.0,162000.0
201604011800,1.0,
201604020000,0.0,432000.0
201604020600,0.0,324000.0
201604021200,1.0,
201604021800,1.0,
201604030000,1.0,
201604030600,1.0,
201604031200,1.0,
201604031800,1.0,
201604040000,1.0,
201604040600,0.0,32400.0
201604041200,1.0,
201604041800,0.0,32400.0
201604050000,0.0,75600.0
201604050600,0.0,226800.0
201604051200,1.0,
201604051800,1.0,
201604060000,1.0,
201604060600,1.0,
201604061200,1.0,
201604061800,1.0,
201604070000,0.0,583200.0
201604070600,1.0,
201604071200,1.0,
201604071800,1.0,
201604080000,1.0,
201604080600,1.0,
201604081200,1.0,
201604081800,1.0,
201604090000,1.0,
201604090600,1.0,
201604091200,1.0,
201604091800,1.0,
201604100000,1.0,
201604100600,1.0,
201604101200,1.0,
201604101800,1.0,
201604110000,1.0,
201604110600,1.0,
201604111200,1.0,
201604111800,1.0,
201604120000,1.0,
201604120600,1.0,
201604121200,1.0,
201604121800,1.0,
201604130000,1.0,
201604130600,1.0,
201604131200,1.0,
201604131800,1.0,
201604140000,1.0,
201604140600,1.0,
201604141200,1.0,
